title,author,average_rate,genre,summary,link,year,category
1Q84,Haruki Murakami,3.94,Fiction,"The year is 1984 and the city is Tokyo.A young woman named Aomame follows a taxi driver’s enigmatic suggestion and begins to notice puzzling discrepancies in the world around her. She has entered, she realizes, a parallel existence, which she calls 1Q84 —“Q is for ‘question mark.’ A world that bears a question.” Meanwhile, an aspiring writer named Tengo takes on a suspect ghostwriting project. He becomes so wrapped up with the work and its unusual author that, soon, his previously placid life begins to come unraveled.As Aomame’s and Tengo’s narratives converge over the course of this single year, we learn of the profound and tangled connections that bind them ever closer: a beautiful, dyslexic teenage girl with a unique vision; a mysterious religious cult that instigated a shoot-out with the metropolitan police; a reclusive, wealthy dowager who runs a shelter for abused women; a hideously ugly private investigator; a mild-mannered yet ruthlessly efficient bodyguard; and a peculiarly insistent television-fee collector.A love story, a mystery, a fantasy, a novel of self-discovery, a dystopia to rival George Orwell’s —1Q84is Haruki Murakami’s most ambitious undertaking yet: an instant best seller in his native Japan, and a tremendous feat of imagination from one of our most revered contemporary writers.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
The Peach Keeper,Sarah Addison Allen,3.85,Fiction,"TheNew York Timesbestselling author ofThe Girl Who Chased the Moonwelcomes you to her newest locale: Walls of Water, North Carolina, where the secrets are thicker than the fog from the town’s famous waterfalls, and the stuff of superstition is just as real as you want it to be.It’s the dubious distinction of thirty-year-old Willa Jackson to hail from a fine old Southern family of means that met with financial ruin generations ago. The Blue Ridge Madam—built by Willa’s great-great-grandfather during Walls of Water’s heyday, and once the town’s grandest home—has stood for years as a lonely monument to misfortune and scandal. And Willa herself has long strived to build a life beyond the brooding Jackson family shadow. No easy task in a town shaped by years of tradition and the well-marked boundaries of the haves and have-nots.But Willa has lately learned that an old classmate—socialite do-gooder Paxton Osgood—of the very prominent Osgood family, has restored the Blue Ridge Madam to her former glory, with plans to open a top-flight inn. Maybe, at last, the troubled past can be laid to rest while something new and wonderful rises from its ashes. But what rises instead is a skeleton, found buried beneath the property’s lone peach tree, and certain to drag up dire consequences along with it.For the bones—those of charismatic traveling salesman Tucker Devlin, who worked his dark charms on Walls of Water seventy-five years ago—are not all that lay hidden out of sight and mind. Long-kept secrets surrounding the troubling remains have also come to light, seemingly heralded by a spate of sudden strange occurrences throughout the town.Now, thrust together in an unlikely friendship, united by a full-blooded mystery, Willa and Paxton must confront the dangerous passions and tragic betrayals that once bound their families—and uncover truths of the long-dead that have transcended time and defied the grave to touch the hearts and souls of the living.Resonant with insight into the deep and lasting power of friendship, love, and tradition,The Peach Keeperis a portrait of the unshakable bonds that—in good times and bad, from one generation to the next—endure forever.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
Sing You Home,Jodi Picoult,3.81,Fiction,"After Zoe Baxter loses her baby, the only way she can find of coping is to try again. But her husband Max disagrees - more than that, he wants a divorce. When they separate, there is no mention of the unborn children they created together, still waiting at the clinic.The Zoe falls in love again, out of the blue, and finds herself with an unexpected second chance to have a family.But Max has found a new life too - one with no place in it for people like Zoe. And he will stand up in court to say that her new choice of partner makes her an unfit mother.Jodi Picoult's most powerful novel yet asks who has the right to decide what makes the ideal family?",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
The Lover's Dictionary,David Levithan,3.87,Romance,"There has to be a moment at the beginning when you wonder whether you're in love with the person or in love with the feeling of love itself.If the moment doesn't pass, that's it―you're done. And if the moment does pass, it never goes that far. It stands in the distance, ready for whenever you want it back. Sometimes it's even there when you thought you were searching for something else, like an escape route, or your lover's face.How does one talk about love? Do we even have the right words to describe something that can be both utterly mundane and completely transcendent, pulling us out of our everyday lives and making us feel a part of something greater than ourselves? Taking a unique approach to this problem, the nameless narrator of David Levithan's The Lover's Dictionary has constructed the story of his relationship as a dictionary. Through these short entries, he provides an intimate window into the great events and quotidian trifles of being within a couple, giving us an indelible and deeply moving portrait of love in our time.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
State of Wonder,Ann Patchett,3.89,Fiction,"In a narrative replete with poison arrows, devouring snakes, scientific miracles, and spiritual transformations, ""State of Wonder"" presents a world of stunning surprise and danger, rich in emotional resonance and moral complexity.As Dr. Marina Singh embarks upon an uncertain odyssey into the insect-infested Amazon, she will be forced to surrender herself to the lush but forbidding world that awaits within the jungle.Charged with finding her former mentor Dr. Annick Swenson, a researcher who has disappeared while working on a valuable new drug, she will have to confront her own memories of tragedy and sacrifice as she journeys into the unforgiving heart of darkness.Stirring and luminous, ""State of Wonder"" is a world unto itself, where unlikely beauty stands beside unimaginable loss beneath the rain forest's jeweled canopy.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
The Tiger's Wife,Téa Obreht,3.42,Fiction,"Weaving a brilliant latticework of family legend, loss, and love, Téa Obreht, the youngest ofThe New Yorker’s twenty best American fiction writers under forty, has spun a timeless novel that will establish her as one of the most vibrant, original authors of her generation.In a Balkan country mending from years of conflict, Natalia, a young doctor, arrives on a mission of mercy at an orphanage by the sea. By the time she and her lifelong friend Zóra begin to inoculate the children there, she feels age-old superstitions and secrets gathering everywhere around her. Secrets her outwardly cheerful hosts have chosen not to tell her. Secrets involving the strange family digging for something in the surrounding vineyards. Secrets hidden in the landscape itself.But Natalia is also confronting a private, hurtful mystery of her own: the inexplicable circumstances surrounding her beloved grandfather’s recent death. After telling her grandmother that he was on his way to meet Natalia, he instead set off for a ramshackle settlement none of their family had ever heard of and died there alone. A famed physician, her grandfather must have known that he was too ill to travel. Why he left home becomes a riddle Natalia is compelled to unravel.Grief struck and searching for clues to her grandfather’s final state of mind, she turns to the stories he told her when she was a child. On their weeklytrips to the zoo he would read to her from a worn copy of Rudyard Kipling’s The Jungle Book, which he carried with him everywhere; later, he told her stories of his own encounters over many years with “the deathless man,” a vagabond who claimed to be immortal and appeared never to age. But the most extraordinary story of all is the one her grandfather never told her, the one Natalia must discover for herself. One winter during the Second World War, his childhood village was snowbound, cut off even from the encroaching German invaders but haunted by another, fierce presence: a tiger who comes ever closer under cover of darkness. “These stories,” Natalia comes to understand, “run like secret rivers through all the other stories” of her grandfather’s life. And it is ultimately within these rich, luminous narratives that she will find the answer she is looking for.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
The Marriage Plot,Jeffrey Eugenides,3.47,Fiction,"It's the early 1980s - the country is in a deep recession, and life after college is harder than ever. In the cafés on College Hill, the wised-up kids are inhaling Derrida and listening to the Talking Heads. But Madeleine Hanna, dutiful English major, is writing her senior thesis on Jane Austen and George Eliot, purveyors of the marriage plot that lies at the heart of the greatest English novels.As Madeleine tries to understand why ""it became laughable to read writers like Cheever and Updike, who wrote about the suburbia Madeleine and most of her friends had grown up in, in favor of reading the Marquis de Sade, who wrote about deflowering virgins in eighteenth century France,"" real life, in the form of two very different guys, intervenes. Leonard Bankhead - charismatic loner, college Darwinist, and lost Portland boy - suddenly turns up in a semiotics seminar, and soon Madeleine finds herself in a highly charged erotic and intellectual relationship with him. At the same time, her old ""friend"" Mitchell Grammaticus - who's been reading Christian mysticism and generally acting strange - resurfaces, obsessed with the idea that Madeleine is destined to be his mate.Over the next year, as the members of the triangle in this amazing, spellbinding novel graduate from college and enter the real world, events force them to reevaluate everything they learned in school. Leonard and Madeleine move to a biology laboratory on Cape Cod, but can't escape the secret responsible for Leonard's seemingly inexhaustible energy and plunging moods. And Mitchell, traveling around the world to get Madeleine out of his mind, finds himself face-to-face with ultimate questions about the meaning of life, the existence of God, and the true nature of love.Are the great love stories of the nineteenth century dead? Or can there be a new story, written for today and alive to the realities of feminism, sexual freedom, prenups, and divorce? With devastating wit and an abiding understanding of and affection for his characters, Jeffrey Eugenides revives the motivating energies of the Novel, while creating a story so contemporary and fresh that it reads like the intimate journal of our own lives.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
The Story of Beautiful Girl,Rachel Simon,3.93,Fiction,"It is 1968. Lynnie, a young white woman with a developmental disability, and Homan, an African American deaf man, are locked away in an institution,the School for the Incurable and Feebleminded, and have been left to languish, forgotten. Deeply in love, they escape, and find refuge in the farmhouse of Martha, a retired schoolteacher and widow. But the couple is not alone-Lynnie has just given birth to a baby girl. When the authorities catch up to them that same night, Homan escapes into the darkness, and Lynnie is caught. But before she is forced back into the institution, she whispers two words to Martha: ""Hide her."" And so begins the 40-year epic journey of Lynnie, Homan, Martha, and baby Julia-lives divided by seemingly insurmountable obstacles, yet drawn together by a secret pact and extraordinary love.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
The Art of Fielding,Chad Harbach,3.99,Fiction,"At Westish College, a small school on the shore of Lake Michigan, baseball star Henry Skrimshander seems destined for big league stardom. But when a routine throw goes disastrously off course, the fates of five people are upended.Henry's fight against self-doubt threatens to ruin his future. College president Guert Affenlight, a longtime bachelor, has fallen unexpectedly and helplessly in love. Owen Dunne, Henry's gay roommate and teammate, becomes caught up in a dangerous affair. Mike Schwartz, the Harpooners' team captain and Henry's best friend, realizes he has guided Henry's career at the expense of his own. And Pella Affenlight, Guert's daughter, returns to Westish after escaping an ill-fated marriage, determined to start a new life.As the season counts down to its climactic final game, these five are forced to confront their deepest hopes, anxieties, and secrets. In the process they forge new bonds, and help one another find their true paths. Written with boundless intelligence and filled with the tenderness of youth, The Art of Fielding is an expansive, warmhearted novel about ambition and its limits, about family and friendship and love, and about commitment - to oneself and to others.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
The Midwife's Confession,Diane Chamberlain,4.08,Fiction,"Dear Anna,What I have to tell you is difficult to write, but I know it will be far more difficult for you to hear, and I'm so sorry—The unfinished letter is the only clue Tara and Emerson have to the reason behind their close friend Noelle's suicide. Everything they knew about Noelle—her calling as a midwife, her passion for causes, her love for her friends and family—described a woman whoembracedlife.Yet there was so much theydidn'tknow.With the discovery of the letter and its heartbreaking secret, Noelle's friends begin to uncover the truth about this complex woman who touched each of their lives - and the life of a desperate stranger - with love and betrayal, compassion and deceit.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
